index,id,question,expected_answer,expected_source,expected_page,expected_section,expected_topic,applicable_to,confidence,notes
0,EVAL001,ما المقصود باكتمال البيانات الجيومكانية؟,قياس اكتمال البيانات الجيومكانية وتحديد الزيادة أو النقص فيها بحسب تعريف مجموعة البيانات لكل طبقة جيومكانية أساسية.,National Geospatial Data Standards,9,Geospatial Data Quality,completeness,vector,High,Definition of completeness.
1,EVAL002,ما المقصود بالدقة المكانية في معايير البيانات الجيومكانية الوطنية؟,قرب قيم الإحداثيات من القيم المرجعية المقبولة أو الصحيحة ضمن نظام المرجع المكاني الوطني.,National Geospatial Data Standards,9,Geospatial Data Quality,spatial_accuracy,vector,High,General definition of spatial accuracy.
2,EVAL003,ما المقصود بالجودة الموضوعية للبيانات الجيومكانية؟,دقة البيانات الكمية وصحة البيانات غير الكمية وتصنيفاتها وعلاقاتها.,National Geospatial Data Standards,9,Geospatial Data Quality,thematic_quality,vector,High,General thematic quality definition.
3,EVAL004,ما المقصود بالتطابق المنطقي للبيانات الجيومكانية؟,"درجة الالتزام بالقواعد المنطقية للنموذج الوطني للبيانات الجيومكانية، وتشمل تطابق المعالم والمجال والبنية الفعلية والتطابق الطوبولوجي.",National Geospatial Data Standards,9,Geospatial Data Quality,logical_consistency,vector,High,Includes topological consistency.
4,EVAL005,ما المقصود بالتطابق الطوبولوجي؟,صحة الخصائص الطوبولوجية لمجموعة البيانات.,National Geospatial Data Standards,9,Geospatial Data Quality,topological_consistency,vector,High,Useful for topology-related Meyaar findings.
5,EVAL006,ما الذي يجب تقييمه طوبولوجياً في شبكة النقل؟,يجب تقييم التطابق الطوبولوجي لشبكة النقل للتحقق من التوصيلات المفقودة بسبب التعثرات والتجاوزات والطرق غير الصالحة وغيرها.,National Geospatial Data Standards,14,Transportation - Logical Consistency,transport_topology,roads,High,Directly relevant to road topology findings such as overshoot/undershoot candidates.
6,EVAL007,ما متطلبات التطابق الطوبولوجي المتعلقة بالمباني؟,يجب ضمان عدم تداخل المباني مع قطع الأرض غير المخصصة لها.,National Geospatial Data Standards,15,Buildings - Logical Consistency,building_topology,buildings,High,Directly relevant to building overlap context.
7,EVAL008,ما متطلبات تقييم جودة البيانات الجيومكانية المذكورة في المعايير؟,"تشمل الموثوقية والتمثيل والتجانس، وتستخدم طرق تقييم مختلفة للوصول إلى نتيجة جودة البيانات.",National Geospatial Data Standards,17,Geospatial Data Quality Evaluation,quality_evaluation,general,High,Evaluation methodology context.
8,EVAL009,ما هو المرجع المكاني الوطني للمملكة SANSRS؟,"هو نظام مرجعي متناسق يحدد الإحداثيات الكارتيزية وخطوط الطول ودوائر العرض والارتفاع والمقياس والجاذبية والتوجيه في جميع أنحاء المملكة.",SANSRS User Guideline,6,Definition of SANSRS,spatial_reference,vector,High,Core SANSRS definition.
9,EVAL010,ما المكونات الجيوديسية الرئيسية للمرجع المكاني الوطني SANSRS؟,يتضمن المرجع الجيوديسي الوطني KSA-GRF17 والمرجع الرأسي الوطني KSA-VRF14 ونموذج الجيويد الوطني KSA-GEOID21.,SANSRS User Guideline,6,SANSRS Components,sansrs_components,vector,High,Core components are stated together in the definition section.
