id,question,expected_answer,expected_source,expected_page,generated_answer,retrieved_sources,retrieved_pages
EVAL001,ما المقصود باكتمال البيانات الجيومكانية؟,قياس اكتمال البيانات الجيومكانية وتحديد الزيادة أو النقص فيها بحسب تعريف مجموعة البيانات لكل طبقة جيومكانية أساسية.,National Geospatial Data Standards,9,"Answer:
The retrieved GeoSA evidence is insufficient to answer this question confidently.

Source:
None of the supplied evidence directly defines “completeness” of geospatial data.",Technical Guidelines for Cartography | Technical Guidelines for Cartography | National Geospatial Data Standards | National Geospatial Data Standards | Technical Guidelines for Cartography,24 | 20 | 11 | 16 | 32
EVAL002,ما المقصود بالدقة المكانية في معايير البيانات الجيومكانية الوطنية؟,قرب قيم الإحداثيات من القيم المرجعية المقبولة أو الصحيحة ضمن نظام المرجع المكاني الوطني.,National Geospatial Data Standards,9,"Answer:
الدقة المكانية تعني قرب قيم الإحداثيات من القيم المرجعية المقبولة أو الصحيحة ضمن نظام المرجع المكاني الوطني.

Source:
National Geospatial Data Standards, page 9.",National Geospatial Data Standards | National Geospatial Data Standards | National Geospatial Data Standards | National Geospatial Data Standards | National Geospatial Data Standards,16 | 15 | 9 | 5 | 11
EVAL003,ما المقصود بالجودة الموضوعية للبيانات الجيومكانية؟,دقة البيانات الكمية وصحة البيانات غير الكمية وتصنيفاتها وعلاقاتها.,National Geospatial Data Standards,9,"Answer:
الجودة الموضوعية للبيانات الجيومكانية تعني دقة البيانات الكمية وصحة البيانات غير الكمية وتصنيفاتها وعواقبها.

Source:
National Geospatial Data Standards, page 9",National Geospatial Data Standards | Technical Guidelines for Cartography | National Geospatial Data Standards | National Geospatial Data Standards | Technical Guidelines for Cartography,9 | 24 | 16 | 11 | 21
EVAL004,ما المقصود بالتطابق المنطقي للبيانات الجيومكانية؟,درجة الالتزام بالقواعد المنطقية للنموذج الوطني للبيانات الجيومكانية، وتشمل تطابق المعالم والمجال والبنية الفعلية والتطابق الطوبولوجي.,National Geospatial Data Standards,9,"Answer:
التطابق المنطقي هو درجة الالتزام بالقواعد المنطقية للنموذج الوطني للبيانات الجيومكانية، ويشمل مطابقة المعالم والقيم الميدانية للمعايير المحددة، وتخزين البيانات وفقاً لهياكل النموذج، وصحة الخصائص الطوبولوجية للبيانات.

Source:
National Geospatial Data Standards, page 9",National Geospatial Data Standards | National Geospatial Data Standards | Technical Guidelines for Cartography | National Geospatial Data Standards | Technical Guidelines for Cartography,11 | 9 | 24 | 15 | 28
EVAL005,ما المقصود بالتطابق الطوبولوجي؟,صحة الخصائص الطوبولوجية لمجموعة البيانات.,National Geospatial Data Standards,9,"Answer:
التطابق الطوبولوجي هو صحة الخصائص الطوبولوجية لمجموعة البيانات.

Source:
National Geospatial Data Standards, page 9",Technical Guidelines for Cartography | National Geospatial Data Standards | Technical Guidelines for Cartography | Technical Guidelines for Cartography | National Geospatial Data Standards,11 | 12 | 7 | 12 | 9
EVAL006,ما الذي يجب تقييمه طوبولوجياً في شبكة النقل؟,يجب تقييم التطابق الطوبولوجي لشبكة النقل للتحقق من التوصيلات المفقودة بسبب التعثرات والتجاوزات والطرق غير الصالحة وغيرها.,National Geospatial Data Standards,14,"Answer:
يجب تقييم التطابق الطوبولوجي لشبكة النقل، أي التحقق من اتّصال العقد (مثل التقاطعات والمحطات) والروابط (مثل الطرق والسكك الحديدية والمسارات) بدقة، لضمان عدم وجود فجوات أو تجاوزات أو طرق غير صالحة تؤثر على التوصيات.

Source:
National Geospatial Data Standards, page 14.",National Geospatial Data Standards | National Geospatial Data Standards | National Geospatial Data Standards | Technical Guidelines for Cartography | SANSRS User Guideline,14 | 12 | 14 | 33 | 10
EVAL007,ما متطلبات التطابق الطوبولوجي المتعلقة بالمباني؟,يجب ضمان عدم تداخل المباني مع قطع الأرض غير المخصصة لها.,National Geospatial Data Standards,15,"Answer:
التطابق الطوبولوجي للمباني يتطلب ضمان عدم تداخل المباني مع قطع الأرض غير المخصصة لها.

Source:
National Geospatial Data Standards, page 15",National Geospatial Data Standards | National Geospatial Data Standards | National Geospatial Data Standards | National Geospatial Data Standards | National Geospatial Data Standards,12 | 15 | 16 | 14 | 9
EVAL008,ما متطلبات تقييم جودة البيانات الجيومكانية المذكورة في المعايير؟,تشمل الموثوقية والتمثيل والتجانس، وتستخدم طرق تقييم مختلفة للوصول إلى نتيجة جودة البيانات.,National Geospatial Data Standards,17,,National Geospatial Data Standards | National Geospatial Data Standards | Technical Guidelines for Cartography | National Geospatial Data Standards | National Geospatial Data Standards,5 | 16 | 7 | 11 | 10
EVAL009,ما هو المرجع المكاني الوطني للمملكة SANSRS؟,هو نظام مرجعي متناسق يحدد الإحداثيات الكارتيزية وخطوط الطول ودوائر العرض والارتفاع والمقياس والجاذبية والتوجيه في جميع أنحاء المملكة.,SANSRS User Guideline,6,"Answer:
The Saudi Arabia National Spatial Reference System (SANSRS) is the national spatial reference system of the Kingdom, comprised of several geodetic components (datums, coordinate systems, and coordinate reference systems) that are formally defined as a GML Spatial Reference System (SRS) Dictionary in the SANSRS Foundation Theme.

Source:
Technical Guidelines for Cartography, page 15.",SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | Technical Guidelines for Cartography,7 | 7 | 3 | 8 | 15
EVAL010,ما المكونات الجيوديسية الرئيسية للمرجع المكاني الوطني SANSRS؟,يتضمن المرجع الجيوديسي الوطني KSA-GRF17 والمرجع الرأسي الوطني KSA-VRF14 ونموذج الجيويد الوطني KSA-GEOID21.,SANSRS User Guideline,6,"Answer:
المكونات الجيوديسية الرئيسية للمرجع المكاني الوطني SANSRS هي:
- الداتام (datums)
- أنظمة الإحداثيات (coordinate systems) بما في ذلك المحاور والوحدات
- أنظمة الإحالة الإحداثية (coordinate reference systems) التي تربط كل نظام إحداثيات بداتام

Source:
Technical Guidelines for Cartography, page 15",SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | SANSRS User Guideline | Technical Guidelines for Cartography,7 | 8 | 13 | 17 | 15
